Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,
2018-06-01,1.1669,127.74,1.9558,N/A,25.827,7.4441,N/A,0.8768,319.84,N/A,N/A,N/A,4.3162,N/A,4.665,10.2943,N/A,N/A,1.1531,122.1,9.5323,7.385,72.5972,N/A,5.3991,1.5494,4.3681,1.5142,7.4883,9.1547,16195.41,4.1437,78.314,1254.17,23.2834,4.6536,1.6737,61.375,1.5617,37.376,14.8313,
2018-05-31,1.1699,127.33,1.9558,N/A,25.797,7.4436,N/A,0.8768,318.89,N/A,N/A,N/A,4.3058,N/A,4.6508,10.2683,N/A,N/A,1.1526,122.9,9.5375,7.387,72.5759,N/A,5.2628,1.5414,4.3626,1.5038,7.4951,9.1818,16269.8,4.181,78.802,1261.25,23.2461,4.6562,1.6681,61.507,1.5656,37.472,14.7031,
2018-05-30,1.1632,126.76,1.9558,N/A,25.835,7.4432,N/A,0.875,319.57,N/A,N/A,N/A,4.3135,N/A,4.6443,10.2783,N/A,N/A,1.1513,122.9,9.5463,7.3893,72.3836,N/A,5.1818,1.5409,4.3112,1.5093,7.4673,9.1268,16223.91,4.1631,78.388,1255.41,22.8815,4.6359,1.6686,61.208,1.5588,37.292,14.6156,
2018-05-29,1.1558,125.88,1.9558,N/A,25.907,7.4429,N/A,0.87143,320.05,N/A,N/A,N/A,4.311,N/A,4.647,10.3173,N/A,N/A,1.1517,122.94,9.5618,7.3903,72.3479,N/A,5.334,1.5366,4.3415,1.5058,7.4174,9.0681,16205.24,4.1615,78.406,1248.51,22.8237,4.606,1.6711,60.836,1.5565,37.067,14.6465,
2018-05-28,1.1644,127.33,1.9558,N/A,25.731,7.4474,N/A,0.87465,319.42,N/A,N/A,N/A,4.3053,N/A,4.636,10.2373,N/A,N/A,1.1577,123.2,9.5113,7.395,72.6316,N/A,5.3482,1.541,4.2953,1.5114,7.4508,9.1354,16324.88,4.1573,78.528,1250.83,22.765,4.6316,1.6756,61.112,1.5615,37.272,14.4979,
2018-05-25,1.1675,127.72,1.9558,N/A,25.765,7.4485,N/A,0.8754,319.9,N/A,N/A,N/A,4.309,N/A,4.6297,10.1922,N/A,N/A,1.1593,123.8,9.4888,7.3905,72.4935,N/A,5.5153,1.5424,4.2554,1.5126,7.4611,9.1589,16475.1,4.1552,79.1505,1259.55,22.8883,4.6467,1.6882,61.441,1.5652,37.29,14.5938,
2018-05-24,1.1728,128.46,1.9558,N/A,25.809,7.4496,N/A,0.87475,319.27,N/A,N/A,N/A,4.3031,N/A,4.627,10.2518,N/A,N/A,1.1607,123.8,9.481,7.3946,72.1879,N/A,5.5804,1.5519,4.2794,1.5111,7.4868,9.2043,16583.53,4.1922,80.193,1264.77,23.0952,4.6648,1.6946,61.628,1.5726,37.577,14.6043,
2018-05-23,1.1708,128.61,1.9558,N/A,25.813,7.4495,N/A,0.87953,319.53,N/A,N/A,N/A,4.3088,N/A,4.6294,10.2906,N/A,N/A,1.1598,123.8,9.5063,7.3913,72.2643,N/A,5.7086,1.5544,4.304,1.5109,7.4797,9.1904,16642.92,4.1882,80.1055,1266.75,23.355,4.6627,1.6977,61.432,1.5754,37.641,14.8062,
2018-05-22,1.1794,130.7,1.9558,N/A,25.702,7.4478,N/A,0.87688,317.45,N/A,N/A,N/A,4.2862,N/A,4.6265,10.2158,N/A,N/A,1.1738,123.6,9.49,7.3868,72.3491,N/A,5.4704,1.5543,4.317,1.5066,7.5112,9.2565,16674.36,4.2061,80.2105,1267.93,23.2842,4.679,1.6991,61.645,1.5772,37.758,14.8008,
2018-05-21,1.1759,130.84,1.9558,N/A,25.68,7.4471,N/A,0.8764,319.4,N/A,N/A,N/A,4.3138,N/A,4.6217,10.2555,N/A,N/A,1.1753,123.4,9.5285,7.3815,73.3644,N/A,5.4012,1.5619,4.3714,1.5139,7.5097,9.23,16670.14,4.2163,80.128,1274.86,23.522,4.6801,1.703,61.604,1.5803,37.899,15.1352,
2018-05-18,1.1781,130.69,1.9558,N/A,25.59,7.4483,N/A,0.87325,317.68,N/A,N/A,N/A,4.295,N/A,4.6323,10.3073,N/A,N/A,1.1773,123.4,9.5773,7.384,73.215,N/A,5.2714,1.5673,4.3831,1.5074,7.5147,9.248,16666.58,4.2313,80.1115,1273.37,23.2982,4.6794,1.7049,61.742,1.5828,37.929,14.943,
2018-05-17,1.1805,130.66,1.9558,N/A,25.557,7.4481,N/A,0.8735,316.58,N/A,N/A,N/A,4.2899,N/A,4.6319,10.295,N/A,N/A,1.1819,123.2,9.5565,7.3803,73.1549,N/A,5.2497,1.5681,4.3286,1.5077,7.5174,9.2666,16588.39,4.2382,79.9645,1275.6,23.168,4.6854,1.7125,61.711,1.5845,37.859,14.8009,
2018-05-16,1.1784,129.83,1.9558,N/A,25.545,7.4487,N/A,0.87418,317.27,N/A,N/A,N/A,4.2889,N/A,4.635,10.2903,N/A,N/A,1.1792,123,9.5715,7.383,73.5977,N/A,5.2178,1.5741,4.3294,1.5161,7.5137,9.2504,16582.15,4.2351,79.8925,1274.5,23.2843,4.6712,1.7115,61.715,1.5824,37.874,14.7584,
2018-05-15,1.1883,130.77,1.9558,N/A,25.551,7.4492,N/A,0.879,316.93,N/A,N/A,N/A,4.2837,N/A,4.6331,10.2928,N/A,N/A,1.191,122.6,9.5673,7.3833,73.822,N/A,5.2719,1.5857,4.3439,1.5253,7.5606,9.328,16715.82,4.281,80.872,1279.12,23.4398,4.7009,1.7222,62.424,1.5908,38.049,14.8389,
